n=63, k=21, S=96, p=[2^14 3^4 4 7 12 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 4 8 11 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 4 9 10 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 5^2 13 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 5 6 12 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 5 7 11 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 5 8 10 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 5 9^2 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 6^2 11 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 6 7 10 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 6 8 9 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 7^2 9 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^14 3^4 7 8^2 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^13 3^6 6 13 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^13 3^6 7 12 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^13 3^6 8 11 ], NoSolutionStrategy3
n=63, k=21, S=96, p=[2^13 3^6 9 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 5 6 13 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 5 7 12 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 5 8 11 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 5 9 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 6^2 12 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 6 7 11 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 6 8 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 6 9^2 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 7^2 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 7 8 9 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 4 8^3 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5^3 13 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5^2 6 12 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5^2 7 11 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5^2 8 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5^2 9^2 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5 6^2 11 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5 6 7 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5 6 8 9 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5 7^2 9 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 5 7 8^2 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 6^3 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 6^2 7 9 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 6^2 8^2 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 6 7^2 8 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^17 3^2 7^4 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 5 6 13 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 5 7 12 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 5 8 11 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 5 9 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 6^2 12 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 6 7 11 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 6 8 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 6 9^2 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 7^2 10 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 7 8 9 ], NoSolutionStrategy3
n=68, k=23, S=102, p=[2^16 3^4 8^3 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4^2 6 14 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4^2 7 13 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4^2 8 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4^2 9 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4^2 10^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 5^2 14 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 5 6 13 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 5 7 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 5 8 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 5 9 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 6^2 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 6 7 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 6 8 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 6 9^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 7^2 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 7 8 9 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 4 8^3 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5^3 13 ], NoSolutionStrategy3
