n=120, k=44, S=165, p=[2^36 3 4^5], Criterion 1
n=120, k=44, S=165, p=[2^36 4^6], Criterion 1
n=122, k=41, S=183, p=[2^30 3^3], Criterion 1
n=122, k=41, S=183, p=[2^29 3^5], Criterion 1
n=122, k=41, S=183, p=[2^28 3^7], Criterion 1
n=122, k=41, S=183, p=[2^27 3^9], Criterion 1
n=122, k=41, S=183, p=[2^26 3^11], Criterion 1
n=123, k=41, S=186, p=[2^30 3^2], Criterion 1
n=123, k=41, S=186, p=[2^29 3^4], Criterion 1
n=123, k=41, S=186, p=[2^28 3^6], Criterion 1
n=123, k=41, S=186, p=[2^27 3^8], Criterion 1
n=123, k=41, S=186, p=[2^26 3^10], Criterion 1
n=123, k=41, S=186, p=[2^25 3^12], Criterion 1
n=124, k=50, S=155, p=[2^46 5^3], Criterion 1
n=125, k=45, S=175, p=[2^37 4^5], Criterion 1
n=125, k=45, S=175, p=[2^36 4^7], Criterion 1
n=128, k=43, S=192, p=[2^32 3^2], Criterion 1
n=128, k=43, S=192, p=[2^31 3^4], Criterion 1
n=128, k=43, S=192, p=[2^30 3^6], Criterion 1
n=128, k=43, S=192, p=[2^29 3^8], Criterion 1
n=128, k=43, S=192, p=[2^28 3^10], Criterion 1
n=128, k=43, S=192, p=[2^27 3^12], Criterion 1
n=128, k=48, S=172, p=[2^42 4^2], Criterion 1
n=128, k=48, S=172, p=[2^41 3^2 4], Criterion 2
n=128, k=48, S=172, p=[2^41 3 4^3], Criterion 12
n=128, k=48, S=172, p=[2^41 4^4], Criterion 1
n=128, k=48, S=172, p=[2^40 3^2], Criterion 2
n=128, k=48, S=172, p=[2^40 3 4^5], Criterion 12
n=128, k=48, S=172, p=[2^40 4^6], Criterion 1
n=128, k=48, S=172, p=[2^39 3^5 4], Criterion 2
n=128, k=48, S=172, p=[2^39 4^8], Criterion 1
n=128, k=48, S=172, p=[2^38 3^2], Criterion 2
n=129, k=43, S=195, p=[2^31 3^3], Criterion 1
n=129, k=43, S=195, p=[2^30 3^5], Criterion 1
n=129, k=43, S=195, p=[2^29 3^7], Criterion 1
n=129, k=43, S=195, p=[2^28 3^9], Criterion 1
n=129, k=43, S=195, p=[2^27 3^11], Criterion 1
n=129, k=43, S=195, p=[2^26 3^13], Criterion 1
n=132, k=42, S=209, p=[2^27 3^7], Criterion 1
n=132, k=42, S=209, p=[2^26 3^9], Criterion 1
n=132, k=42, S=209, p=[2^25 3^11], Criterion 1
n=132, k=42, S=209, p=[2^24 3^13], Criterion 1
n=134, k=45, S=201, p=[2^33 3^3], Criterion 1
n=134, k=45, S=201, p=[2^32 3^5], Criterion 1
n=134, k=45, S=201, p=[2^31 3^7], Criterion 1
n=134, k=45, S=201, p=[2^30 3^9], Criterion 1
n=134, k=45, S=201, p=[2^29 3^11], Criterion 1
n=134, k=45, S=201, p=[2^28 3^13], Criterion 1
n=135, k=45, S=204, p=[2^33 3^2], Criterion 1
n=135, k=45, S=204, p=[2^32 3^4], Criterion 1
n=135, k=45, S=204, p=[2^31 3^6], Criterion 1
n=135, k=45, S=204, p=[2^30 3^8], Criterion 1
n=135, k=45, S=204, p=[2^29 3^10], Criterion 1
n=135, k=45, S=204, p=[2^28 3^12], Criterion 1
n=135, k=45, S=204, p=[2^27 3^14], Criterion 1
n=135, k=51, S=180, p=[2^45 4^2], Criterion 1
n=135, k=51, S=180, p=[2^44 3^2 4], Criterion 2
n=135, k=51, S=180, p=[2^44 3 4^3], Criterion 12
n=135, k=51, S=180, p=[2^44 4^4], Criterion 1
n=135, k=51, S=180, p=[2^43 3^2], Criterion 2
n=135, k=51, S=180, p=[2^43 3 4^5], Criterion 12
n=135, k=51, S=180, p=[2^43 4^6], Criterion 1
n=135, k=51, S=180, p=[2^42 3^5 4], Criterion 2
n=135, k=51, S=180, p=[2^41 3^2], Criterion 2
n=135, k=54, S=170, p=[2^50 5^2], Criterion 1
n=135, k=54, S=170, p=[2^49 5^4], Criterion 1
n=140, k=47, S=210, p=[2^35 3^2], Criterion 1
n=140, k=47, S=210, p=[2^34 3^4], Criterion 1
n=140, k=47, S=210, p=[2^33 3^6], Criterion 1
n=140, k=47, S=210, p=[2^32 3^8], Criterion 1
n=140, k=47, S=210, p=[2^31 3^10], Criterion 1
n=140, k=47, S=210, p=[2^30 3^12], Criterion 1
n=140, k=47, S=210, p=[2^29 3^14], Criterion 1
n=141, k=47, S=213, p=[2^34 3^3], Criterion 1
n=141, k=47, S=213, p=[2^33 3^5], Criterion 1
n=141, k=47, S=213, p=[2^32 3^7], Criterion 1
n=141, k=47, S=213, p=[2^31 3^9], Criterion 1
n=141, k=47, S=213, p=[2^30 3^11], Criterion 1
n=141, k=47, S=213, p=[2^29 3^13], Criterion 1
n=141, k=47, S=213, p=[2^28 3^15], Criterion 1
n=143, k=52, S=198, p=[2^44 4^4], Criterion 1
n=143, k=52, S=198, p=[2^43 4^6], Criterion 1
n=143, k=52, S=198, p=[2^42 4^8], Criterion 1
n=144, k=45, S=232, p=[2^28 3^8], Criterion 1
n=144, k=45, S=232, p=[2^27 3^10], Criterion 1
n=144, k=45, S=232, p=[2^26 3^12], Criterion 1
n=144, k=45, S=232, p=[2^25 3^14], Criterion 1
n=144, k=58, S=180, p=[2^54 5^2], Criterion 1
n=144, k=58, S=180, p=[2^54 6^3], Criterion 1
n=144, k=58, S=180, p=[2^53 5^4], Criterion 1
n=144, k=60, S=174, p=[2^57 6^2], Criterion 1
n=144, k=60, S=174, p=[2^56 4^2 6], Criterion 2
n=144, k=60, S=174, p=[2^55 4^2], Criterion 2
n=146, k=49, S=219, p=[2^36 3^3], Criterion 1
n=146, k=49, S=219, p=[2^35 3^5], Criterion 1
n=146, k=49, S=219, p=[2^34 3^7], Criterion 1
n=146, k=49, S=219, p=[2^33 3^9], Criterion 1
n=146, k=49, S=219, p=[2^32 3^11], Criterion 1
n=146, k=49, S=219, p=[2^31 3^13], Criterion 1
n=146, k=49, S=219, p=[2^30 3^15], Criterion 1
n=147, k=49, S=222, p=[2^36 3^2], Criterion 1
n=147, k=49, S=222, p=[2^35 3^4], Criterion 1
n=147, k=49, S=222, p=[2^34 3^6], Criterion 1
n=147, k=49, S=222, p=[2^33 3^8], Criterion 1
n=147, k=49, S=222, p=[2^32 3^10], Criterion 1
n=147, k=49, S=222, p=[2^31 3^12], Criterion 1
